State,X,Y,Year,NatGasC
AL,6,1,1960,190706
AL,6,1,1961,191533
AL,6,1,1962,201250
AL,6,1,1963,211348
AL,6,1,1964,230316
AL,6,1,1965,236949
AL,6,1,1966,240755
AL,6,1,1967,262055
AL,6,1,1968,296690
AL,6,1,1969,310822
AL,6,1,1970,307750
AL,6,1,1971,294838
AL,6,1,1972,287100
AL,6,1,1973,279958
AL,6,1,1974,282454
AL,6,1,1975,271747
AL,6,1,1976,232758
AL,6,1,1977,248715
AL,6,1,1978,244969
AL,6,1,1979,291485
AL,6,1,1980,278394
AL,6,1,1981,281046
AL,6,1,1982,253487
AL,6,1,1983,230003
AL,6,1,1984,239653
AL,6,1,1985,227795
AL,6,1,1986,210229
AL,6,1,1987,214613
AL,6,1,1988,243209
AL,6,1,1989,253593
AL,6,1,1990,252457
AL,6,1,1991,261816
AL,6,1,1992,288123
AL,6,1,1993,302672
AL,6,1,1994,299322
AL,6,1,1995,332400
AL,6,1,1996,337782
AL,6,1,1997,337453
AL,6,1,1998,341976
AL,6,1,1999,349080
AL,6,1,2000,368472
AL,6,1,2001,344004
AL,6,1,2002,389965
AL,6,1,2003,360505
AL,6,1,2004,391927
AL,6,1,2005,363398
AL,6,1,2006,402044
AL,6,1,2007,430649
AL,6,1,2008,414260
AL,6,1,2009,466272
AL,6,1,2010,544405
AL,6,1,2011,609288
AL,6,1,2012,677380
AL,6,1,2013,625869
AL,6,1,2014,650570
AL,6,1,2015,701582
AL,6,1,2016,715033
AL,6,1,2017,681516
AR,4,2,1960,222202
AR,4,2,1961,215311
AR,4,2,1962,235477
AR,4,2,1963,252846
AR,4,2,1964,278852
AR,4,2,1965,277661
AR,4,2,1966,289632
AR,4,2,1967,295756
AR,4,2,1968,321569
AR,4,2,1969,349990
AR,4,2,1970,383478
AR,4,2,1971,334979
AR,4,2,1972,317640
AR,4,2,1973,327475
AR,4,2,1974,290102
AR,4,2,1975,257445
AR,4,2,1976,248194
AR,4,2,1977,234379
AR,4,2,1978,220898
AR,4,2,1979,255010
AR,4,2,1980,273994
AR,4,2,1981,265051
AR,4,2,1982,227395
AR,4,2,1983,211726
AR,4,2,1984,214432
AR,4,2,1985,199350
AR,4,2,1986,202982
AR,4,2,1987,172340
AR,4,2,1988,218787
AR,4,2,1989,251139
AR,4,2,1990,234465
AR,4,2,1991,212680
AR,4,2,1992,226598
AR,4,2,1993,232682
AR,4,2,1994,247187
AR,4,2,1995,271956
AR,4,2,1996,274991
AR,4,2,1997,264019
AR,4,2,1998,272888
AR,4,2,1999,257666
AR,4,2,2000,256114
AR,4,2,2001,231590
AR,4,2,2002,247899
AR,4,2,2003,254571
AR,4,2,2004,217921
AR,4,2,2005,216600
AR,4,2,2006,240885
AR,4,2,2007,229610
AR,4,2,2008,238424
AR,4,2,2009,248100
AR,4,2,2010,274774
AR,4,2,2011,288906
AR,4,2,2012,300572
AR,4,2,2013,288045
AR,4,2,2014,273009
AR,4,2,2015,296826
AR,4,2,2016,315617
AR,4,2,2017,317614
AZ,1,1,1960,140275
AZ,1,1,1961,159093
AZ,1,1,1962,163461
AZ,1,1,1963,169533
AZ,1,1,1964,174623
AZ,1,1,1965,166063
AZ,1,1,1966,174448
AZ,1,1,1967,169085
AZ,1,1,1968,189965
AZ,1,1,1969,210332
AZ,1,1,1970,204383
AZ,1,1,1971,225898
AZ,1,1,1972,241355
AZ,1,1,1973,226325
AZ,1,1,1974,204955
AZ,1,1,1975,164346
AZ,1,1,1976,180181
AZ,1,1,1977,176449
AZ,1,1,1978,186366
AZ,1,1,1979,180580
AZ,1,1,1980,173977
AZ,1,1,1981,192208
AZ,1,1,1982,142323
AZ,1,1,1983,120418
AZ,1,1,1984,126844
AZ,1,1,1985,137315
AZ,1,1,1986,105197
AZ,1,1,1987,121406
AZ,1,1,1988,128594
AZ,1,1,1989,151468
AZ,1,1,1990,130781
AZ,1,1,1991,128178
AZ,1,1,1992,133771
AZ,1,1,1993,118159
AZ,1,1,1994,139733
AZ,1,1,1995,127945
AZ,1,1,1996,125265
AZ,1,1,1997,137588
AZ,1,1,1998,161086
AZ,1,1,1999,167770
AZ,1,1,2000,208137
AZ,1,1,2001,244424
AZ,1,1,2002,255247
AZ,1,1,2003,275650
AZ,1,1,2004,356264
AZ,1,1,2005,329302
AZ,1,1,2006,365230
AZ,1,1,2007,401992
AZ,1,1,2008,409966
AZ,1,1,2009,377504
AZ,1,1,2010,336208
AZ,1,1,2011,293134
AZ,1,1,2012,339043
AZ,1,1,2013,340375
AZ,1,1,2014,315916
AZ,1,1,2015,365313
AZ,1,1,2016,373916
AZ,1,1,2017,335978
CA,0,3,1960,"1,301,826"
CA,0,3,1961,"1,400,174"
CA,0,3,1962,"1,483,423"
CA,0,3,1963,"1,623,370"
CA,0,3,1964,"1,817,241"
CA,0,3,1965,"1,813,213"
CA,0,3,1966,"1,982,305"
CA,0,3,1967,"2,048,734"
CA,0,3,1968,"2,187,260"
CA,0,3,1969,"2,189,883"
CA,0,3,1970,"2,241,295"
CA,0,3,1971,"2,265,324"
CA,0,3,1972,"2,303,562"
CA,0,3,1973,"2,154,045"
CA,0,3,1974,"1,937,140"
CA,0,3,1975,"1,937,322"
CA,0,3,1976,"1,849,711"
CA,0,3,1977,"1,864,187"
CA,0,3,1978,"1,646,333"
CA,0,3,1979,"1,900,357"
CA,0,3,1980,"1,890,887"
CA,0,3,1981,"1,947,370"
CA,0,3,1982,"1,765,171"
CA,0,3,1983,"1,601,037"
CA,0,3,1984,"1,739,833"
CA,0,3,1985,"1,925,459"
CA,0,3,1986,"1,591,045"
CA,0,3,1987,"1,992,956"
CA,0,3,1988,"1,860,391"
CA,0,3,1989,"2,047,845"
CA,0,3,1990,"2,101,602"
CA,0,3,1991,"2,208,285"
CA,0,3,1992,"2,294,135"
CA,0,3,1993,"2,213,111"
CA,0,3,1994,"2,334,777"
CA,0,3,1995,"2,109,956"
CA,0,3,1996,"2,017,680"
CA,0,3,1997,"2,185,029"
CA,0,3,1998,"2,418,688"
CA,0,3,1999,"2,379,558"
CA,0,3,2000,"2,456,438"
CA,0,3,2001,"2,513,856"
CA,0,3,2002,"2,318,656"
CA,0,3,2003,"2,317,062"
CA,0,3,2004,"2,462,247"
CA,0,3,2005,"2,304,463"
CA,0,3,2006,"2,375,929"
CA,0,3,2007,"2,467,545"
CA,0,3,2008,"2,472,612"
CA,0,3,2009,"2,391,374"
CA,0,3,2010,"2,325,411"
CA,0,3,2011,"2,196,252"
CA,0,3,2012,"2,456,371"
CA,0,3,2013,"2,480,792"
CA,0,3,2014,"2,409,574"
